r	x	y	id
0.004	0.004	0	d
0.01924191	0.013606085	0.013606085	d
0.092562771	5.67016E-18	0.092562771	d
0.445271114	-0.314854224	0.314854224	d
2.141966622	-2.141966622	2.62423E-16	d
10.30388199	-7.285944825	-7.285944825	d
49.56659123	-9.10896E-15	-49.56659123	d
238.438966	168.6018097	-168.6018097	d
1147.005253	1147.005253	-2.8105E-13	d
5517.642823	3901.562656	3901.562656	d
26542.496	8.12962E-12	26542.496	d
127682.0766	-90284.86222	90284.86222	d
614211.7416	-614211.7416	2.2575E-10	d
2954651.69	-2089254.246	-2089254.246	d
14213285.12	-6.09468E-09	-14213285.12	d
68372686.6	48346790.34	-48346790.34	d